	C0_1	C0_2	C63_1	C63_2
ASV_1074	1	0	0	0
ASV_1075	1	0	0	0
ASV_1076	0	3	0	0
ASV_1077	0	3	0	0
ASV_1078	0	3	0	0
ASV_1079	0	3	0	0
ASV_1080	0	3	0	0
ASV_1081	0	3	0	0
ASV_1082	0	3	0	0
ASV_1083	0	3	0	0
ASV_1084	0	3	0	0
ASV_1085	0	3	0	0
ASV_1086	0	3	0	0
ASV_1087	0	3	0	0
ASV_1088	0	3	0	0
ASV_1089	0	2	0	0
ASV_1090	0	2	0	0
ASV_1091	0	1	0	2
ASV_1092	0	1	0	2
ASV_1093	0	1	1	0
ASV_1094	0	1	0	1
ASV_1095	0	1	0	0
